view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,responses,stimulus,key_press,success_time,board_size,board_set,board_no,success,completed
"[{"page_index":0,"viewing_time":1414}]",1414,instructions,16,110317,0.0-18.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,sudoku_trial,17,158077,0.0-19.0,NULL,NULL,NULL,47749,boards2x3,b,4,1,1
NULL,NULL,sudoku_trial,18,206028,0.0-20.0,NULL,NULL,NULL,47939,boards2x3,a,3,1,1
NULL,NULL,sudoku_trial,19,261610,0.0-21.0,NULL,NULL,NULL,55568,boards2x3,c,1,1,1
NULL,NULL,sudoku_trial,20,443128,0.0-22.0,NULL,NULL,NULL,NULL,boards2x3,b,2,,1
NULL,NULL,sudoku_trial,21,496222,0.0-23.0,NULL,NULL,NULL,53080,boards2x3,b,0,1,1
NULL,NULL,sudoku_trial,22,575785,0.0-24.0,NULL,NULL,NULL,79547,boards2x3,c,3,1,1
"[{"page_index":0,"viewing_time":1145},{"page_index":1,"viewing_time":1610}]",2755,instructions,23,578543,0.0-25.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"[{"page_index":0,"viewing_time":1336}]",1336,instructions,24,579879,0.0-26.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":7686},{"page_index":1,"viewing_time":5616},{"page_index":2,"viewing_time":1448},{"page_index":3,"viewing_time":1232}]",15983,instructions,0,15984,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3101,survey-multi-choice,1,19087,0.0-1.0,"{"Q0":"I agree to participate in this research study"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":2231},{"page_index":1,"viewing_time":3008}]",5239,instructions,2,24327,0.0-2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2519,survey-multi-choice,3,26847,0.0-3.0,"{"Q0":"Yes, I solved Sudoku once or twice"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
