view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,responses,stimulus,key_press,success_time,board_size,board_set,board_no,success,completed
"[{"page_index":0,"viewing_time":11450},{"page_index":1,"viewing_time":385},{"page_index":2,"viewing_time":155},{"page_index":3,"viewing_time":184}]",12174,instructions,0,12177,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2671,survey-multi-choice,1,14851,0.0-1.0,"{"Q0":"I agree to participate in this research study"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":1272},{"page_index":1,"viewing_time":807}]",2079,instructions,2,16930,0.0-2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2628,survey-multi-choice,3,19564,0.0-3.0,"{"Q0":"Yes, I solve Sudoku regularly"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1386,survey-multi-choice,4,20954,0.0-4.0-0.0,"{"Q0":"Very good"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1515,survey-multi-choice,5,22475,0.0-5.0,"{"Q0":"Graduate degree (e.g., MA, MSc)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,670,survey-text,6,23146,0.0-6.0-0.0,"{"Q0":""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,5467,survey-multi-choice,7,28619,0.0-9.0,"{"Q0":"Graduate degree (e.g., MA, MSc)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1459,survey-multi-choice,8,30082,0.0-10.0,"{"Q0":"Graduate degree (e.g., MA, MSc)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2340,survey-multi-choice,9,32427,0.0-11.0,"{"Q0":"Semi- or unskilled working class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1231,survey-multi-choice,10,33666,0.0-12.0,"{"Q0":"Semi- or unskilled working class"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1287,survey-text,11,34954,0.0-13.0,"{"Q0":""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1188,survey-multi-choice,12,36146,0.0-14.0,"{"Q0":""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,call-function,13,36147,0.0-15.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"[{"page_index":0,"viewing_time":662},{"page_index":1,"viewing_time":945},{"page_index":2,"viewing_time":848},{"page_index":3,"viewing_time":463},{"page_index":4,"viewing_time":369},{"page_index":5,"viewing_time":233},{"page_index":6,"viewing_time":902}]",4423,instructions,14,40570,0.0-16.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,2689,html-keyboard-response,15,43259,0.0-16.0-1.0,NULL,"Are you ready to solve a practice Sudoku? <br><br> Yes, I am ready! (Press C) <br><br> Not yet, I would like to read the rules once again, please! (Press R)",67,NULL,NULL,NULL,NULL,NULL,1
